year,oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Control_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,TRAUMA_CENTER_DESC,CONGRESS_DIST,ASSEMBLY_DIST,SENATE_DIST,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Rehab,Disaster_Care_Site,Prison_Jail,Psychiatric_Care,Residential_Care,Routine,SN_IC_Care,Childrens_or_Cancer,CAH,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Rehab,a_Disaster_Care_Site,a_Residential_Care,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer,a_CAH,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,LICENSED_BED_TOTAL,EMS_STATION,Invalid_Blank_Disp,Other_Disp,a_Invalid_Blank_Disp,a_Other_Disp
2015,106014233,14233,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Beds 100-149,Level II,15,20,10,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,N/A,N/A,Emergency - Basic,21807,16313,,3578,3093,6856,6230,4738,5350,3469,1850,2196,760,,3703,7532,10920,95,1461,148,14261,334,373,74,160,25,14,,26,851,17,35224,314,38,17,199,18099,6606,831,9066,3421,97,38120,1163,34461,2496,2888,2862,,58,266,404,514,945,1083,955,1524,1,,,720,848,972,139,17,3043,11,312,96,246,881,224,,13,2447,1315,1,168,43,,1,2,1286,2911,74,1372,107,,5750,333,5102,315,2015,130,22,222,232,1,
2015,106014326,14326,KAISER FND HOSP - OAKLAND/RICHMOND,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,275 W. MACARTHUR BLVD.,OAKLAND,94611,Beds 300-499,,13,15,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,N/A,N/A,Emergency - Basic,58286,46846,2,10142,8972,18293,14973,12960,13649,10815,6943,6685,1702,,9451,41962,23691,375,2679,1434,25542,952,1152,100,169,108,88,,63,1113,30,100331,553,13,9,312,30442,19981,2338,41541,10831,1,105134,2081,95428,7625,5255,4606,1,278,366,459,718,1325,1761,1919,2516,150,370,,1269,3574,1260,158,62,3504,35,422,74,399,1073,52,2,69,6086,1341,1,231,48,1,9,48,1091,5595,28,2893,255,,9862,401,9001,460,2015,315,48,141,,1,5
2015,106014337,14337,KAISER FND HOSP - SAN LEANDRO,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,2500 MERCED STREET,SAN LEANDRO,94577,Beds 200-299,,13,18,9,San Leandro West/San Lorenzo West/Hayward West,Urban,N/A,N/A,Emergency - Basic,30723,24670,2,5935,5418,8274,6996,6585,7119,5470,3851,4594,1153,,9026,12480,17041,223,1007,690,14928,521,862,70,482,108,75,,12,647,149,51452,826,16,15,160,9142,11451,1081,30539,3182,,55395,1442,48979,4974,2355,1995,,39,167,226,305,548,837,876,1341,10,1,,674,850,759,20,9,2017,21,154,19,233,1069,18,,9,1721,964,,137,18,,,5,241,2783,7,1268,51,,4350,147,3992,211,2015,216,40,,,,3
2015,106034002,34002,SUTTER AMADOR HOSPITAL,AMADOR,Nonprofit - Corporation,General Acute Care Hospital,200 MISSION BLVD,JACKSON,95642,Beds 50-99,,4,5,8,Ione/Jackson/Pine Grove/Sutter Creek,Rural,Rural,N/A,Emergency - Basic,11169,9253,,1850,1837,2720,2651,2473,2876,2388,1751,1517,359,,164,181,1657,224,119,583,17494,323,109,23,162,37,3,,114,73,5,19133,58,1,39,239,7798,5440,610,4896,1547,131,20422,76,20093,253,1076,867,,14,61,87,109,292,390,423,563,3,1,,9,16,79,17,89,1725,8,134,31,58,298,21,,5,1008,309,2,61,1,,7,8,300,1310,60,231,42,,1943,14,1919,10,2015,52,14,56,47,,
2015,106040802,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Nonprofit - Corporation,General Acute Care Hospital,240 SPRUCE STREET,GRIDLEY,95948,Beds 1-49,,1,3,4,Biggs/East Biggs/Gridley,Rural,Rural,N/A,Emergency - Standby,6105,4566,1,1668,1240,1591,1434,1344,1359,737,572,448,279,,311,169,3183,47,256,12,6694,212,197,13,1,15,,,,7,111,10100,9,,6,1,6453,1935,33,1311,940,,10672,38,9027,1607,258,185,,10,34,36,41,67,71,97,87,,,,5,6,80,8,2,341,1,24,11,2,,,,5,271,122,,,5,,3,,141,265,,29,8,,443,1,386,56,2015,45,5,,,,
2015,106040875,40875,FEATHER RIVER HOSPITAL,BUTTE,Nonprofit - Corporation,General Acute Care Hospital,5974 PENTZ ROAD,PARADISE,95969,Beds 100-149,,1,3,4,Magalia/Paradise/Stirling City,Rural,N/A,N/A,Emergency - Basic,14262,10602,,2663,2023,3627,3117,2407,3265,2849,2002,2295,616,,139,138,876,31,179,355,23146,456,335,40,54,5,,,178,145,,23469,148,14,,10,11966,7660,582,3424,1232,,24864,27,24764,73,1721,1361,,25,94,135,172,467,640,571,927,17,34,,20,12,69,25,8,2948,,112,76,70,632,14,,,1549,502,,110,10,,1,,586,2138,58,273,27,,3082,7,3069,6,2015,100,18,,10,,6
2015,106040937,40937,OROVILLE HOSPITAL,BUTTE,Nonprofit - Corporation,General Acute Care Hospital,2767 OLIVE HIGHWAY,OROVILLE,95966,Beds 100-149,,1,3,4,Oroville/Palermo/Thermalito,Rural,N/A,N/A,Emergency - Basic,10732,9459,,2352,2129,3747,3097,2508,2803,1611,789,630,525,,638,828,1461,495,324,89,16356,273,847,38,,,,,,306,1,18725,1,,,,12111,3804,611,2392,1273,,20191,233,19641,317,5687,4858,,151,676,777,1210,2187,2130,1705,1550,71,88,,298,289,481,147,17,9076,237,247,591,130,443,,,3,8125,920,34,33,19,,,,4032,5369,190,841,113,,10545,247,10137,161,2015,133,14,,,,
2015,106040962,40962,ENLOE MEDICAL CENTER- ESPLANADE,BUTTE,Nonprofit - Corporation,General Acute Care Hospital,1531 ESPLANADE,CHICO,95926,Beds 200-299,Level II,1,3,4,Chapmantown/Chico,Urban,N/A,N/A,Emergency - Basic,24856,20991,,4269,4940,9133,6385,5118,5602,3924,2516,2988,972,,609,1598,7723,414,2375,165,32963,219,652,73,2,3,5,,434,609,5,43680,165,,,,21609,10110,1028,10826,2274,,45847,442,42730,2675,5274,5375,,182,593,641,876,1608,2073,1966,2558,60,92,,109,162,1032,364,21,8888,73,184,191,414,1498,347,,38,6135,1576,8,188,70,,,,2565,6238,142,1628,76,,10649,113,10041,495,2015,228,34,,,,
2015,106050932,50932,MARK TWAIN MEDICAL CENTER,CALAVERAS,Nonprofit - Corporation,General Acute Care Hospital,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,Beds 1-49,,4,5,8,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,Rural,N/A,Emergency - Basic,6086,5185,1,948,1137,1476,1310,1299,1616,1417,1060,868,141,,84,107,577,32,58,85,10329,514,245,9,16,3,,,105,104,,10228,41,3,1,3,4937,3156,343,2303,533,,11272,22,11085,165,467,407,,9,29,30,59,133,185,202,227,,,,6,3,18,5,3,837,2,41,100,12,85,3,,12,496,80,1,3,1,35,2,3,159,584,15,104,12,,874,1,868,5,2015,48,8,,,,
2015,106060870,60870,COLUSA REGIONAL MEDICAL CENTER,COLUSA,Nonprofit - Corporation,General Acute Care Hospital,199 EAST WEBSTER STREET,COLUSA,95932,Beds 1-49,Level IV,3,3,4,Colusa,Rural,Rural,N/A,Emergency - Standby,3661,3246,,1155,871,1094,820,632,726,594,400,403,212,,51,115,3278,77,14,5,3367,309,243,11,7,,,,140,25,,6128,44,,,,3615,1284,424,1163,421,,6907,26,5278,1603,251,189,,13,20,45,31,50,73,73,122,4,9,,4,3,138,,,293,2,27,7,6,27,,,,254,109,5,5,,,,,92,240,,80,28,,440,,367,73,2015,48,4,,,,
2015,106070904,70904,DOCTORS MEDICAL CENTER - SAN PABLO,CONTRA COSTA,Public - District,General Acute Care Hospital,2000 VALE ROAD,SAN PABLO,94806,Beds 100-149,,11,15,9,Richmond Central/San Pablo Central,Urban,N/A,N/A,Emergency - Standby,5342,4001,,1299,1022,1702,1401,1180,1151,736,385,270,197,,415,1637,5988,50,200,5,1048,80,97,,2,2,,,2,13,,9026,13,19,,88,1096,1261,100,5595,1286,5,9343,21,7798,1524,199,189,,1,11,29,48,69,68,61,101,,,,72,120,75,4,2,113,2,11,12,8,28,,,,281,39,7,1,,,,1,116,192,7,52,20,1,388,16,317,55,2015,124,25,1,,,
2015,106070924,70924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,Public - City or County,General Acute Care Hospital,2500 ALHAMBRA AVENUE,MARTINEZ,94553,Beds 150-199,,5,14,3,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,Urban,N/A,N/A,Emergency - Basic,26033,23899,9,2758,4300,9478,9561,7631,8298,4806,1513,764,832,,5298,8691,13777,327,4612,1,17235,194,1419,12,897,2,,,787,8,117,44750,1631,4,,,30649,6156,4618,4999,3519,,49941,2326,38469,9146,2903,2674,,83,633,729,816,1204,1073,546,471,22,,,761,1044,1410,114,4,2149,95,16,12,55,44,,,162,5080,77,77,17,34,3,,,3390,1622,90,350,125,,5577,446,4233,898,2015,167,20,120,,,
2015,106070934,70934,SUTTER DELTA MEDICAL CENTER,CONTRA COSTA,Nonprofit - Corporation,General Acute Care Hospital,3901 LONE TREE WAY,ANTIOCH,94509,Beds 100-149,,9,11,7,Brentwood Central and West/Oakley,Urban,N/A,N/A,Emergency - Basic,30410,21920,1,7636,6378,10046,7983,6162,6001,3319,1836,1479,1491,,2671,14831,16336,76,1215,112,17090,362,504,65,144,14,,,33,224,10,50298,106,6,36,288,32072,6672,880,7996,4647,64,52331,652,46612,5067,3627,3101,,97,455,585,820,1265,1220,1015,1078,90,103,,443,1425,1420,173,14,3245,8,233,274,175,814,21,,15,4340,694,,133,17,2,2,7,2445,2880,62,1197,144,,6728,177,6062,489,2015,145,32,171,70,1,
2015,106070988,70988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CONTRA COSTA,Nonprofit - Corporation,General Acute Care Hospital,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,Beds 500+,Level II,11,16,7,Clayton/Concord South/Walnut Creek Central and East,Urban,N/A,N/A,Emergency - Basic,21949,17028,1,4178,3573,4575,4359,4237,4564,3899,3491,5101,1001,,3113,2119,5592,140,1500,1325,25189,178,144,59,146,90,1,,25,243,2,37155,592,56,,17,1478,17803,919,16388,2390,,38978,1055,36595,1328,5906,5401,,336,550,637,756,1283,1680,1974,3657,138,296,,802,683,999,271,239,8272,41,427,64,424,2070,203,,12,5645,2024,9,335,88,3,,,1256,6645,210,2785,411,,11307,395,10623,289,2015,572,44,,270,,3
2015,106070990,70990,KAISER FND HOSP - WALNUT CREEK,CONTRA COSTA,Nonprofit - Corporation,General Acute Care Hospital,1425 SOUTH MAIN STREET,WALNUT CREEK,94596-5300,Beds 200-299,,11,16,7,Clayton/Concord South/Walnut Creek Central and East,Urban,N/A,N/A,Emergency - Basic,27849,23476,,4731,4729,5464,5541,5495,6273,6047,5277,6954,814,,5807,2561,6726,188,1558,898,33587,339,503,59,229,92,14,,5,395,17,48999,397,3,7,266,3960,15002,496,29988,1879,,51325,587,49471,1267,4593,4143,,137,232,311,483,939,1498,1912,3029,62,133,,826,298,619,88,25,6859,21,251,72,314,1806,60,3,91,4633,1108,,372,14,,,12,228,5837,11,2584,76,,8736,132,8490,114,2015,233,52,,,,
2015,106071018,71018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONTRA COSTA,Nonprofit - Corporation,General Acute Care Hospital,2540 EAST STREET,CONCORD,94520,Beds 200-299,,11,14,7,Avon/Clyde/Concord Central/Pittsburg Southwest,Urban,N/A,N/A,Emergency - Basic,29568,22969,1,6874,5292,8167,7530,6391,7076,4601,2922,2573,1112,,3063,6226,17920,101,3482,773,20973,604,331,72,48,30,13,,67,500,5,49817,273,62,3,111,4223,31838,1078,9454,5941,4,52538,883,44530,7125,3948,4019,,48,283,439,739,1427,1695,1453,1883,,,,655,870,1232,360,107,4723,20,220,153,320,1657,32,,22,4134,1220,7,142,54,,,4,1540,4676,224,1191,336,,7967,268,7109,590,2015,267,32,,602,,2
2015,106074017,74017,SAN RAMON REGIONAL MEDICAL CENTER,CONTRA COSTA,Investor - Corporation,General Acute Care Hospital,6001 NORRIS CANYON ROAD,SAN RAMON,94583,Beds 100-149,,15,16,7,Alamo/Danville/Diablo/San Ramon,Urban,N/A,N/A,Emergency - Basic,8376,6842,,1609,1699,1558,1827,2131,2119,1643,1293,1160,179,,1701,662,876,14,1982,54,9929,252,64,31,54,2,,,,80,3,14722,10,,,,1692,3147,570,9214,595,,15218,240,14866,112,1560,1422,,31,101,134,206,358,519,602,1002,10,19,,269,98,134,245,9,2225,2,77,29,94,526,16,,47,1543,567,1,66,14,2,,,209,1629,138,1006,,,2982,91,2861,30,2015,123,12,,,,
2015,106074097,74097,KAISER FOUND HSP-ANTIOCH,CONTRA COSTA,Nonprofit - Corporation,General Acute Care Hospital,4501 SAND CREEK ROAD,ANTIOCH,94531,Beds 150-199,,9,11,7,Brentwood Central and West/Oakley,Urban,N/A,N/A,Emergency - Basic,28148,21193,,6345,6161,7016,6000,5990,5929,4540,3312,2971,1077,,3564,11977,11395,175,1115,463,20652,369,648,46,248,63,7,,4,253,1,47276,181,,19,226,9847,9789,586,25989,3130,,49341,438,46462,2441,2208,1952,,20,151,227,411,599,856,916,974,4,2,,313,693,652,53,7,2425,17,193,44,201,791,13,,7,2334,417,,144,15,,,1,331,2589,13,1159,68,,4160,38,3939,183,2015,150,35,,,,
2015,106084001,84001,SUTTER COAST HOSPITAL,DEL NORTE,Nonprofit - Corporation,General Acute Care Hospital,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,Beds 1-49,Level IV,2,2,2,Crescent City/Gasquet/Klamath/Smith River,Rural,Rural,N/A,Emergency - Basic,10395,8863,,1692,1511,2911,2598,2308,2745,2021,1625,1434,413,,241,180,1028,878,79,178,16674,672,291,44,42,,20,,142,,4,17854,148,,,,8950,5318,1458,2634,882,16,19258,121,18839,298,907,727,,24,121,93,116,230,278,325,410,14,23,,48,5,30,9,10,1484,48,126,50,78,241,8,,,930,196,3,,,,,2,358,996,105,158,17,,1634,11,1610,13,2015,49,11,,41,,
2015,106090793,90793,BARTON MEMORIAL HOSPITAL,EL DORADO,Nonprofit - Corporation,General Acute Care Hospital,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,Beds 100-149,,4,5,1,South Lake Tahoe,Rural,Rural,N/A,Emergency - Basic,9156,9262,2,1880,2049,3823,2757,2193,2456,1753,751,434,324,,508,329,3494,65,914,39,13071,378,524,16,1,,,,79,91,,17106,7,180,37,,8124,2619,782,5276,1619,,18420,193,16944,1283,548,670,,31,108,105,133,219,226,187,169,15,25,,37,13,126,53,2,982,5,66,25,11,120,2,,,878,89,3,11,9,2,2,,310,516,43,306,43,,1218,18,1128,72,2015,111,12,,1,,
2015,106090933,90933,MARSHALL  MEDICAL CENTER (1-RH),EL DORADO,Nonprofit - Corporation,General Acute Care Hospital,1100 MARSHALL WAY,PLACERVILLE,95667,Beds 100-149,Level III,4,5,1,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,Rural,Rural,N/A,Emergency - Basic,13676,11478,,2648,2779,3467,3332,2461,3221,2609,2014,2157,466,,138,205,2248,82,658,12783,9040,659,217,39,18,4,,,24,191,,23794,93,1,6,108,2373,6418,6881,8704,723,55,25154,64,24425,665,2193,1972,,54,187,272,298,639,775,734,1194,5,7,,26,49,4004,77,6,2,1,8,566,162,313,,,295,2601,25,10,16,1,156,,,934,2536,29,629,37,,4165,6,4116,43,2015,113,24,,,8,4
2015,106100005,100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,Nonprofit - Corporation,General Acute Care Hospital,2755 HERNDON AVENUE,CLOVIS,93611,Beds 200-299,,22,23,8,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake,Rural,N/A,N/A,Emergency - Basic,32595,21072,1,3044,5062,11721,9626,7009,6398,4577,3016,2583,632,,65,104,33129,160,760,63,19387,359,3289,51,41,8,7,,116,329,84,48970,122,68,,208,25425,9147,1574,14012,3510,,53668,644,50522,2502,3838,3114,,47,399,508,693,1021,1279,1381,1622,2,,,420,229,1783,123,14,4330,53,202,98,256,1333,180,,18,3804,826,,225,4,,,1,1483,3975,27,1351,116,,6952,223,6444,285,2015,208,42,,16,1,4
